Paso,Tiempo_ms
0,2
50,104
100,178
150,271
200,358
250,423
300,482
350,542
400,600
450,669
500,740
550,810
600,881
650,956
700,1040
750,1122
800,1195
850,1271
900,1332
950,1392
1000,1450
1050,1508
1100,1565
1150,1622
1200,1682
1250,1742
1300,1806
1350,1866
1400,1925
1450,1983
1500,2041
1550,2100
1600,2159
1650,2218
1700,2277
1750,2336
1800,2394
1850,2451
1900,2509
1950,2567
2000,2625
2050,2683
2100,2741
2150,2799
2200,2858
2250,2918
2300,2975
2350,3034
2400,3093
2450,3152
2500,3210
2550,3269
2600,3329
2650,3388
2700,3447
2750,3505
2800,3564
2850,3622
2900,3681
2950,3740
3000,3798
3050,3857
3100,3915
3150,3973
3200,4032
3250,4090
3300,4149
3350,4208
3400,4267
3450,4326
3500,4384
3550,4442
3600,4500
3650,4559
3700,4616
3750,4675
3800,4734
3850,4792
3900,4851
3950,4910
4000,4968
4050,5028
4100,5084
4150,5141
4200,5198
4250,5254
4300,5312
4350,5373
4400,5432
4450,5491
4500,5548
4550,5605
4600,5663
4650,5721
4700,5779
4750,5837
4800,5895
4850,5954
4900,6011
4950,6068
5000,6125
5050,6183
5100,6240
5150,6298
5200,6355
5250,6413
5300,6471
5350,6529
5400,6587
5450,6645
5500,6703
5550,6760
5600,6819
5650,6877
5700,6934
5750,6991
5800,7048
5850,7106
5900,7164
5950,7221
6000,7279
6050,7338
6100,7400
6150,7457
6200,7518
6250,7576
6300,7635
6350,7692
6400,7749
6450,7808
6500,7867
6550,7933
6600,7992
6650,8051
6700,8109
6750,8168
6800,8229
6850,8288
6900,8347
6950,8406
7000,8465
7050,8524
7100,8583
7150,8641
7200,8700
7250,8759
7300,8817
7350,8878
7400,8938
7450,8996
7500,9055
7550,9118
7600,9178
7650,9239
7700,9300
7750,9360
7800,9423
7850,9478
7900,9534
7950,9590
8000,9646
8050,9703
8100,9759
8150,9816
8200,9873
8250,9929
8300,9987
8350,10044
8400,10102
8450,10160
8500,10217
8550,10275
8600,10332
8650,10391
8700,10450
8750,10535
8800,10593
8850,10652
8900,10712
8950,10772
9000,10831
9050,10890
9100,10960
9150,11029
9200,11094
9250,11156
9300,11220
9350,11281
9400,11340
9450,11402
9500,11467
9550,11534
9600,11597
9650,11654
9700,11712
9750,11770
9800,11828
9850,11886
9900,11944
9950,12003
10000,12060
10050,12117
10100,12175
10150,12232
10200,12289
10250,12346
10300,12404
10350,12462
10400,12519
10450,12577
10500,12634
10550,12691
10600,12749
10650,12806
10700,12864
10750,12922
10800,12980
10850,13038
10900,13096
10950,13154
11000,13211
11050,13269
11100,13326
11150,13384
11200,13443
11250,13500
11300,13559
11350,13617
11400,13675
11450,13732
11500,13795
11550,13874
11600,13938
11650,14001
11700,14060
11750,14121
11800,14180
11850,14240
11900,14300
11950,14360
12000,14419
12050,14481
12100,14544
12150,14608
12200,14666
12250,14726
12300,14783
12350,14840
12400,14898
12450,14955
12500,15013
12550,15071
12600,15129
12650,15188
12700,15248
12750,15309
12800,15367
12850,15426
12900,15489
12950,15548
13000,15618
13050,15687
13100,15753
13150,15820
13200,15889
13250,15950
13300,16011
13350,16073
13400,16132
13450,16193
13500,16254
13550,16316
13600,16377
13650,16435
13700,16496
13750,16559
13800,16618
13850,16682
13900,16744
13950,16807
14000,16871
14050,16932
14100,16992
14150,17053
14200,17111
14250,17169
14300,17229
14350,17287
14400,17348
14450,17409
14500,17469
14550,17530
14600,17588
14650,17652
14700,17711
14750,17772
14800,17830
14850,17893
14900,17953
14950,18013
15000,18073
15050,18132
15100,18194
15150,18253
15200,18314
15250,18373
15300,18435
15350,18494
15400,18554
15450,18614
15500,18675
15550,18734
15600,18794
15650,18854
15700,18915
15750,18976
15800,19038
15850,19098
15900,19160
15950,19221
16000,19277
16050,19338
16100,19397
16150,19457
16200,19519
16250,19581
16300,19643
16350,19705
16400,19765
16450,19826
16500,19887
16550,19948
16600,20010
16650,20070
16700,20130
16750,20189
16800,20251
16850,20312
16900,20372
16950,20433
17000,20495
17050,20555
17100,20617
17150,20681
17200,20742
17250,20803
17300,20867
17350,20929
17400,20990
17450,21051
17500,21113
17550,21175
17600,21236
17650,21298
17700,21359
17750,21423
17800,21484
17850,21544
17900,21602
17950,21662
18000,21721
18050,21792
18100,21851
18150,21911
18200,21970
18250,22031
18300,22089
18350,22149
18400,22210
18450,22269
18500,22329
18550,22388
18600,22448
18650,22508
18700,22567
18750,22626
18800,22687
18850,22745
18900,22805
18950,22861
19000,22919
19050,22978
19100,23034
19150,23092
19200,23150
19250,23210
19300,23269
19350,23328
19400,23387
19450,23446
19500,23505
19550,23564
19600,23624
19650,23684
19700,23743
19750,23804
19800,23863
19850,23922
19900,23981
19950,24040
20000,24099
20050,24159
20100,24219
20150,24278
20200,24338
20250,24397
20300,24456
20350,24515
20400,24574
20450,24634
20500,24693
20550,24752
20600,24812
20650,24871
20700,24929
20750,24988
20800,25048
20850,25107
20900,25167
20950,25227
21000,25287
21050,25347
21100,25406
21150,25465
21200,25524
21250,25583
21300,25643
21350,25703
21400,25764
21450,25824
21500,25886
21550,25946
21600,26007
21650,26067
21700,26127
21750,26188
21800,26248
21850,26311
21900,26366
21950,26424
22000,26481
22050,26539
22100,26596
22150,26654
22200,26712
22250,26772
22300,26831
22350,26890
22400,26949
22450,27007
22500,27066
22550,27125
22600,27183
22650,27242
22700,27300
22750,27362
22800,27423
22850,27487
22900,27545
22950,27604
23000,27662
23050,27719
23100,27777
23150,27836
23200,27896
23250,27955
23300,28014
23350,28077
23400,28136
23450,28198
23500,28258
23550,28320
23600,28382
23650,28443
23700,28504
23750,28565
23800,28625
23850,28684
23900,28747
23950,28806
24000,28868
24050,28936
24100,28994
24150,29057
24200,29118
24250,29181
24300,29240
24350,29303
24400,29362
24450,29422
24500,29487
24550,29549
24600,29613
24650,29672
24700,29731
24750,29793
24800,29850
24850,29907
24900,29973
24950,30045
25000,30111
25050,30182
25100,30249
25150,30310
25200,30369
25250,30429
25300,30491
25350,30552
25400,30616
25450,30680
25500,30740
25550,30803
25600,30869
25650,30936
25700,30997
25750,31063
25800,31125
25850,31190
25900,31250
25950,31310
26000,31371
26050,31431
26100,31492
26150,31550
26200,31610
26250,31671
26300,31730
26350,31789
26400,31848
26450,31908
26500,31971
26550,32033
26600,32089
26650,32154
26700,32212
26750,32271
26800,32330
26850,32393
26900,32454
26950,32513
27000,32574
27050,32634
27100,32695
27150,32754
27200,32813
27250,32875
27300,32935
27350,32997
27400,33055
27450,33114
27500,33175
27550,33234
27600,33295
27650,33354
27700,33416
27750,33476
27800,33537
27850,33596
27900,33655
27950,33716
28000,33777
28050,33837
28100,33896
28150,33957
28200,34029
28250,34091
28300,34151
28350,34210
28400,34269
28450,34328
28500,34387
28550,34446
28600,34506
28650,34567
28700,34627
28750,34688
28800,34751
28850,34811
28900,34872
28950,34934
29000,34995
29050,35057
29100,35116
29150,35177
29200,35237
29250,35299
29300,35361
29350,35423
29400,35483
29450,35545
29500,35607
29550,35668
29600,35729
29650,35790
29700,35852
29750,35914
29800,35976
29850,36037
29900,36100
29950,36162
30000,36223
30050,36291
30100,36359
30150,36422
30200,36486
30250,36546
30300,36607
30350,36668
30400,36728
30450,36788
30500,36856
30550,36925
30600,36991
30650,37058
30700,37125
30750,37192
30800,37260
30850,37332
30900,37397
30950,37465
31000,37534
31050,37602
31100,37664
31150,37726
31200,37788
31250,37849
31300,37909
31350,37972
31400,38033
31450,38094
31500,38153
31550,38214
31600,38276
31650,38343
31700,38406
31750,38470
31800,38535
31850,38599
31900,38659
31950,38720
32000,38777
32050,38838
32100,38899
32150,38960
32200,39018
32250,39078
32300,39137
32350,39199
32400,39259
32450,39320
32500,39380
32550,39441
32600,39501
32650,39560
32700,39621
32750,39681
32800,39739
32850,39799
32900,39859
32950,39921
33000,39982
33050,40045
33100,40104
33150,40167
33200,40229
33250,40291
33300,40353
33350,40414
33400,40477
33450,40539
33500,40603
33550,40666
33600,40726
33650,40782
33700,40842
33750,40901
33800,40961
33850,41020
33900,41085
33950,41145
34000,41207
34050,41266
34100,41327
34150,41385
34200,41445
34250,41506
34300,41567
34350,41628
34400,41691
34450,41752
34500,41813
34550,41875
34600,41937
34650,41998
34700,42060
34750,42120
34800,42183
34850,42246
34900,42308
34950,42371
35000,42435
35050,42497
35100,42559
35150,42621
35200,42682
35250,42744
35300,42804
35350,42867
35400,42928
35450,42989
35500,43050
35550,43110
35600,43171
35650,43233
35700,43295
35750,43355
35800,43417
35850,43482
35900,43550
35950,43615
36000,43679
36050,43739
36100,43807
36150,43876
36200,43941
36250,44003
36300,44065
36350,44125
36400,44188
36450,44246
36500,44313
36550,44383
36600,44452
36650,44520
36700,44590
36750,44671
36800,44749
36850,44825
36900,44895
36950,44970
37000,45054
37050,45120
37100,45186
37150,45248
37200,45312
37250,45374
37300,45438
37350,45502
37400,45567
37450,45631
37500,45705
37550,45770
37600,45836
37650,45897
37700,45963
37750,46030
37800,46096
37850,46159
37900,46222
37950,46288
38000,46352
38050,46412
38100,46475
38150,46537
38200,46599
38250,46660
38300,46719
38350,46779
38400,46840
38450,46900
38500,46961
38550,47020
38600,47081
38650,47142
38700,47205
38750,47266
38800,47328
38850,47389
38900,47451
38950,47512
39000,47575
39050,47636
39100,47698
39150,47758
39200,47820
39250,47881
39300,47942
39350,48002
39400,48064
39450,48123
39500,48183
39550,48244
39600,48305
39650,48369
39700,48429
39750,48490
39800,48553
39850,48613
39900,48676
39950,48738
40000,48798
40050,48858
40100,48920
40150,48980
40200,49042
40250,49102
40300,49165
40350,49226
40400,49287
40450,49348
40500,49409
40550,49471
40600,49532
40650,49592
40700,49652
40750,49714
40800,49775
40850,49835
40900,49896
40950,49958
41000,50018
41050,50080
41100,50142
41150,50203
41200,50267
41250,50326
41300,50386
41350,50447
41400,50509
41450,50569
41500,50631
41550,50691
41600,50752
41650,50812
41700,50876
41750,50936
41800,50994
41850,51053
41900,51114
41950,51175
42000,51238
42050,51304
42100,51371
42150,51435
42200,51497
42250,51559
42300,51622
42350,51688
42400,51747
42450,51813
42500,51882
42550,51950
42600,52019
42650,52087
42700,52154
42750,52223
42800,52295
42850,52361
42900,52426
42950,52496
43000,52565
43050,52625
43100,52686
43150,52746
43200,52808
43250,52870
43300,52932
43350,52995
43400,53057
43450,53119
43500,53181
43550,53242
43600,53302
43650,53364
43700,53425
43750,53485
43800,53546
43850,53606
43900,53667
43950,53725
44000,53786
