Paso,Tiempo_ms
0,1
50,32
100,63
150,93
200,118
250,145
300,168
350,194
400,222
450,246
500,281
550,341
600,380
650,405
700,431
750,457
800,484
850,508
900,533
950,563
1000,589
1050,614
1100,638
1150,662
1200,694
1250,719
1300,743
1350,771
1400,798
1450,824
1500,858
1550,909
1600,931
1650,972
1700,1004
1750,1034
1800,1056
1850,1088
1900,1111
1950,1146
2000,1178
2050,1228
2100,1297
2150,1363
2200,1386
2250,1416
2300,1448
2350,1472
2400,1503
2450,1531
2500,1554
2550,1581
2600,1613
2650,1640
2700,1665
2750,1685
2800,1710
2850,1737
2900,1759
2950,1784
3000,1808
3050,1832
3100,1857
3150,1885
3200,1906
3250,1935
3300,1960
3350,1985
3400,2015
3450,2041
3500,2067
3550,2096
3600,2124
3650,2146
3700,2176
3750,2214
3800,2258
3850,2282
3900,2311
3950,2339
4000,2373
4050,2402
4100,2458
4150,2487
4200,2517
4250,2544
4300,2572
4350,2603
4400,2641
4450,2670
4500,2699
4550,2735
4600,2761
4650,2782
4700,2816
4750,2861
4800,2898
4850,2930
4900,2959
4950,2982
5000,3021
5050,3068
5100,3116
5150,3142
5200,3170
5250,3197
5300,3221
5350,3249
5400,3271
5450,3300
5500,3333
5550,3367
5600,3392
5650,3420
5700,3467
5750,3517
5800,3540
5850,3564
5900,3585
5950,3640
6000,3698
6050,3749
6100,3772
6150,3798
6200,3822
6250,3868
6300,3929
6350,3992
6400,4018
6450,4051
6500,4103
6550,4153
6600,4190
6650,4216
6700,4236
6750,4259
6800,4289
6850,4322
6900,4356
6950,4408
7000,4437
7050,4457
7100,4485
7150,4523
7200,4553
7250,4577
7300,4603
7350,4636
7400,4671
7450,4690
7500,4733
7550,4758
7600,4785
7650,4806
7700,4834
7750,4860
7800,4885
7850,4914
7900,4974
7950,5024
8000,5058
8050,5086
8100,5110
8150,5147
8200,5173
8250,5197
8300,5217
8350,5239
8400,5263
8450,5287
8500,5309
8550,5337
8600,5359
8650,5383
8700,5406
8750,5431
8800,5458
8850,5484
8900,5508
8950,5533
9000,5558
9050,5583
9100,5604
9150,5634
9200,5666
9250,5695
9300,5724
9350,5755
9400,5780
9450,5804
9500,5835
9550,5870
9600,5903
9650,5943
9700,5968
9750,5989
9800,6030
9850,6053
9900,6081
9950,6101
10000,6136
10050,6157
10100,6185
10150,6211
10200,6236
10250,6264
10300,6284
10350,6316
10400,6346
10450,6376
10500,6408
10550,6450
10600,6477
10650,6498
10700,6531
10750,6560
10800,6585
10850,6612
10900,6637
10950,6666
11000,6691
11050,6716
11100,6738
11150,6763
11200,6791
11250,6832
11300,6862
11350,6892
11400,6913
11450,6939
11500,6973
11550,7014
11600,7041
11650,7065
11700,7094
11750,7120
11800,7148
11850,7185
11900,7211
11950,7249
12000,7291
12050,7324
12100,7350
12150,7370
12200,7391
12250,7419
12300,7455
12350,7490
12400,7521
12450,7574
12500,7601
12550,7622
12600,7646
12650,7674
12700,7702
12750,7724
12800,7751
12850,7780
12900,7808
12950,7844
13000,7881
13050,7921
13100,7945
13150,7978
13200,8002
13250,8037
13300,8085
13350,8136
13400,8163
13450,8188
13500,8209
13550,8238
13600,8273
13650,8304
13700,8340
13750,8383
13800,8440
13850,8467
13900,8501
13950,8536
14000,8572
14050,8618
14100,8684
14150,8781
14200,8831
14250,8895
14300,8946
14350,9004
14400,9086
14450,9122
14500,9158
14550,9201
14600,9232
14650,9264
14700,9297
14750,9324
14800,9351
14850,9374
14900,9401
14950,9428
15000,9459
15050,9485
15100,9533
15150,9585
15200,9640
15250,9675
15300,9698
15350,9734
15400,9797
15450,9824
15500,9843
15550,9868
15600,9901
15650,9946
15700,9978
