Paso,Tiempo_ms
0,0
50,41
100,62
150,88
200,111
250,135
300,152
350,171
400,193
450,210
500,232
550,252
600,277
650,300
700,316
750,336
800,354
850,371
900,390
950,410
1000,428
1050,445
1100,464
1150,481
1200,500
1250,516
1300,534
1350,554
1400,572
1450,587
1500,607
1550,621
1600,642
1650,661
1700,678
1750,698
1800,714
1850,731
1900,754
1950,770
2000,788
2050,808
2100,828
2150,855
2200,871
2250,892
2300,912
2350,932
2400,950
2450,974
2500,990
2550,1015
2600,1034
2650,1057
2700,1082
2750,1104
2800,1134
2850,1164
2900,1187
2950,1206
3000,1227
3050,1248
3100,1267
3150,1285
3200,1309
3250,1330
3300,1347
3350,1364
3400,1386
3450,1402
3500,1420
3550,1435
3600,1450
3650,1467
3700,1483
3750,1505
3800,1521
3850,1536
3900,1553
3950,1570
4000,1587
4050,1603
4100,1623
4150,1642
4200,1658
4250,1676
4300,1693
4350,1708
4400,1727
4450,1741
4500,1757
4550,1777
4600,1792
4650,1814
4700,1834
4750,1850
4800,1865
4850,1882
4900,1899
4950,1916
5000,1933
5050,1948
5100,1970
5150,1987
5200,2004
5250,2021
5300,2037
5350,2058
5400,2072
5450,2089
5500,2110
5550,2130
5600,2150
5650,2177
5700,2193
5750,2230
5800,2250
5850,2274
5900,2296
5950,2317
6000,2342
6050,2365
6100,2389
6150,2414
6200,2435
6250,2455
6300,2482
6350,2511
6400,2531
6450,2592
6500,2630
6550,2667
6600,2692
6650,2711
6700,2736
6750,2763
6800,2784
6850,2815
6900,2839
6950,2871
7000,2905
7050,2948
7100,2986
7150,3009
7200,3030
7250,3051
7300,3070
7350,3095
7400,3132
7450,3167
7500,3198
7550,3232
7600,3260
7650,3280
7700,3299
7750,3321
7800,3344
7850,3365
7900,3385
7950,3409
8000,3436
8050,3455
8100,3489
8150,3508
8200,3525
8250,3541
8300,3563
8350,3586
8400,3603
8450,3632
8500,3655
8550,3680
8600,3698
8650,3721
8700,3756
8750,3773
8800,3817
8850,3862
8900,3887
8950,3917
9000,3949
9050,3986
9100,4029
9150,4093
9200,4147
9250,4202
9300,4235
9350,4275
9400,4318
9450,4353
9500,4383
9550,4404
9600,4443
9650,4480
9700,4523
9750,4556
9800,4591
9850,4616
9900,4655
9950,4679
10000,4714
10050,4812
10100,4841
10150,4871
10200,4899
10250,4941
10300,4977
10350,5008
10400,5041
10450,5085
10500,5110
10550,5147
10600,5194
10650,5229
10700,5262
10750,5298
10800,5332
10850,5371
10900,5424
10950,5455
11000,5488
11050,5512
11100,5538
11150,5566
11200,5598
11250,5643
11300,5684
11350,5717
11400,5739
11450,5767
11500,5789
11550,5814
11600,5835
11650,5856
11700,5880
11750,5900
11800,5939
11850,5972
11900,6002
11950,6022
12000,6063
12050,6099
12100,6148
12150,6177
12200,6198
12250,6224
12300,6253
12350,6286
12400,6313
12450,6340
12500,6363
12550,6388
12600,6419
12650,6448
12700,6479
12750,6508
12800,6536
12850,6566
12900,6595
12950,6627
13000,6649
13050,6674
13100,6702
13150,6732
13200,6759
13250,6789
13300,6826
13350,6853
13400,6883
13450,6904
13500,6935
13550,6969
13600,6998
13650,7020
13700,7050
13750,7084
13800,7107
13850,7142
13900,7169
13950,7201
14000,7227
14050,7258
14100,7282
14150,7325
14200,7350
14250,7384
14300,7418
14350,7446
14400,7488
14450,7514
14500,7535
14550,7573
14600,7599
14650,7632
14700,7664
14750,7705
14800,7739
14850,7768
14900,7792
14950,7835
15000,7873
15050,7907
15100,7942
15150,7978
15200,8004
15250,8025
15300,8067
15350,8117
15400,8193
15450,8233
15500,8266
15550,8294
15600,8329
15650,8365
15700,8406
15750,8457
15800,8492
15850,8515
15900,8559
15950,8592
16000,8632
16050,8665
16100,8703
16150,8753
16200,8791
16250,8828
16300,8865
16350,8904
16400,8952
16450,8986
16500,9008
16550,9042
16600,9070
16650,9111
16700,9148
16750,9187
16800,9208
16850,9254
16900,9290
16950,9317
17000,9351
17050,9388
17100,9427
17150,9476
17200,9502
17250,9544
17300,9583
17350,9624
17400,9660
17450,9694
17500,9727
17550,9774
17600,9821
17650,9844
17700,9875
17750,9898
17800,9951
17850,10004
17900,10036
17950,10079
18000,10114
18050,10151
18100,10173
18150,10203
18200,10241
18250,10262
18300,10294
18350,10349
18400,10385
18450,10427
18500,10474
18550,10496
18600,10533
18650,10569
18700,10607
18750,10658
18800,10691
18850,10720
18900,10745
18950,10778
19000,10821
19050,10858
19100,10891
19150,10940
19200,10969
19250,11001
19300,11027
19350,11052
19400,11105
19450,11143
19500,11187
19550,11217
19600,11261
19650,11309
19700,11337
19750,11369
19800,11397
19850,11439
19900,11489
19950,11542
20000,11576
20050,11650
20100,11719
20150,11778
20200,11815
20250,11846
20300,11873
20350,11901
20400,11923
20450,11952
20500,11990
20550,12018
20600,12041
20650,12066
20700,12109
20750,12142
20800,12170
20850,12215
20900,12252
20950,12306
21000,12333
21050,12356
21100,12376
21150,12416
21200,12453
21250,12489
21300,12529
21350,12551
21400,12582
21450,12612
21500,12642
21550,12676
21600,12719
21650,12742
21700,12772
21750,12795
21800,12827
21850,12856
21900,12887
21950,12920
22000,12958
22050,12998
22100,13027
22150,13051
22200,13074
22250,13118
22300,13147
22350,13192
22400,13227
22450,13259
22500,13304
22550,13328
22600,13350
22650,13385
22700,13411
22750,13437
22800,13457
22850,13485
22900,13524
22950,13548
23000,13577
23050,13612
23100,13635
23150,13665
23200,13691
23250,13710
23300,13758
23350,13792
23400,13826
23450,13858
23500,13891
23550,13923
23600,13961
23650,13988
23700,14013
23750,14041
23800,14079
23850,14125
23900,14152
23950,14187
24000,14211
24050,14245
24100,14284
24150,14320
24200,14352
24250,14371
24300,14397
24350,14421
24400,14448
24450,14487
24500,14531
24550,14561
24600,14600
24650,14633
24700,14662
24750,14713
24800,14758
24850,14804
24900,14853
24950,14897
25000,14938
25050,14983
25100,15023
25150,15055
25200,15102
25250,15137
25300,15169
25350,15218
25400,15250
25450,15291
25500,15329
25550,15373
25600,15408
25650,15444
25700,15478
25750,15535
25800,15595
25850,15625
25900,15661
25950,15691
26000,15716
26050,15736
26100,15760
26150,15786
26200,15815
26250,15840
26300,15867
26350,15904
26400,15943
26450,15977
26500,16010
26550,16041
26600,16080
26650,16118
26700,16144
26750,16191
26800,16223
26850,16253
26900,16279
26950,16309
27000,16357
27050,16394
27100,16415
27150,16441
27200,16470
27250,16504
27300,16534
27350,16563
27400,16588
27450,16618
27500,16653
27550,16690
27600,16712
27650,16751
27700,16780
27750,16803
27800,16842
27850,16871
27900,16905
27950,16945
28000,16978
28050,17004
28100,17034
28150,17058
28200,17091
28250,17123
28300,17156
28350,17190
28400,17213
28450,17248
28500,17276
28550,17310
28600,17344
28650,17372
28700,17398
28750,17427
28800,17458
28850,17493
28900,17512
28950,17552
29000,17595
29050,17622
29100,17652
29150,17680
29200,17708
29250,17738
29300,17757
29350,17785
29400,17815
29450,17840
29500,17865
29550,17903
29600,17950
29650,17983
29700,18023
29750,18048
29800,18081
29850,18112
29900,18142
29950,18190
30000,18219
30050,18259
30100,18335
30150,18372
30200,18411
30250,18437
30300,18460
30350,18493
30400,18524
30450,18566
30500,18599
30550,18644
30600,18687
30650,18708
30700,18729
30750,18747
30800,18790
30850,18809
30900,18851
30950,18882
31000,18913
31050,18939
31100,18957
31150,18976
31200,19013
31250,19033
31300,19052
31350,19078
31400,19116
31450,19135
31500,19160
31550,19190
31600,19223
31650,19279
31700,19319
31750,19346
31800,19378
31850,19413
31900,19439
31950,19461
32000,19495
32050,19528
32100,19550
32150,19592
32200,19621
32250,19656
32300,19690
32350,19711
32400,19741
32450,19771
32500,19792
32550,19814
32600,19860
32650,19885
32700,19926
32750,19955
32800,19996
32850,20024
32900,20059
32950,20086
33000,20110
33050,20131
33100,20161
33150,20203
33200,20223
33250,20256
33300,20279
33350,20329
33400,20363
33450,20407
33500,20435
33550,20468
33600,20504
33650,20533
33700,20557
33750,20593
33800,20631
33850,20668
33900,20699
33950,20729
34000,20780
34050,20824
34100,20867
34150,20898
34200,20933
34250,20966
34300,20992
34350,21035
34400,21059
34450,21092
34500,21118
34550,21157
34600,21195
34650,21233
34700,21268
34750,21296
34800,21334
34850,21374
34900,21414
34950,21459
35000,21532
35050,21554
35100,21578
35150,21606
35200,21644
35250,21694
35300,21753
35350,21791
35400,21816
35450,21845
35500,21873
35550,21898
35600,21924
35650,21956
35700,21978
35750,22004
35800,22029
35850,22048
35900,22082
35950,22102
36000,22140
36050,22179
36100,22211
36150,22244
36200,22277
36250,22317
36300,22364
36350,22392
36400,22414
36450,22443
36500,22496
36550,22515
36600,22560
36650,22590
36700,22618
36750,22641
36800,22697
36850,22716
36900,22742
36950,22765
37000,22787
37050,22817
37100,22860
37150,22913
37200,22955
37250,22973
37300,23000
37350,23026
37400,23062
37450,23090
37500,23118
37550,23160
37600,23194
37650,23230
37700,23276
37750,23299
37800,23332
37850,23365
37900,23390
37950,23432
38000,23465
38050,23494
38100,23543
38150,23587
38200,23612
38250,23643
38300,23670
38350,23704
38400,23736
38450,23777
38500,23812
38550,23874
38600,23921
38650,23948
38700,23969
38750,24032
38800,24055
38850,24082
38900,24108
38950,24136
39000,24190
39050,24247
39100,24300
39150,24352
39200,24386
39250,24421
39300,24449
39350,24483
39400,24521
39450,24553
39500,24576
39550,24622
39600,24663
39650,24699
39700,24741
39750,24777
39800,24807
39850,24834
39900,24853
39950,24884
40000,24907
40050,24949
40100,24994
40150,25023
40200,25052
40250,25079
40300,25124
40350,25169
40400,25208
40450,25242
40500,25268
40550,25328
40600,25362
40650,25401
40700,25446
40750,25477
40800,25506
40850,25547
40900,25577
