T	E_media	error
0.5	-1.90625	0
0.6	-1.90625	0
0.7	-1.90625	0
0.8	-1.90625	0
0.9	-1.90625	0
1	-1.89032	5.36796e-05
1.1	-1.88571	7.24189e-05
1.2	-1.88066	0.000106315
1.3	-1.85954	0.000129223
1.4	-1.83574	0.000154826
1.5	-1.83765	0.000153891
1.6	-1.8086	0.00023876
1.7	-1.77282	0.000277192
1.8	-1.73738	0.000275157
1.9	-1.69647	0.00045027
2	-1.63497	0.000324919
2.1	-1.51558	0.00048469
2.2	-1.4832	0.000708185
2.3	-1.39394	0.000604751
2.4	-1.35167	0.000598931
2.5	-1.08511	0.000561799
2.6	-1.06781	0.000606423
2.7	-1.02998	0.000554331
2.8	-0.9877	0.000627519
2.9	-0.931868	0.000571444
3	-0.86915	0.000574229
3.1	-0.829325	0.000513411
3.2	-0.782424	0.000532899
3.3	-0.766679	0.000600529
3.4	-0.714879	0.000538042
3.5	-0.706123	0.000524716
