y	Densidad
0	0
1	0.0539383
2	0.0710273
3	0.0772102
4	0.0792547
5	0.0810391
6	0.0852148
7	0.0875688
8	0.0898266
9	0.0899328
10	0.0912852
11	0.0901602
12	0.0897398
13	0.0874359
14	0.085075
15	0.0877031
16	0.0917156
17	0.0918117
18	0.0917703
19	0.0881281
20	0.0856187
21	0.0826117
22	0.0784742
23	0.073968
24	0.0743547
25	0.0744961
26	0.0741836
27	0.0755773
28	0.0760945
29	0.0742445
30	0.0737203
31	0.0732367
32	0.0728945
33	0.0750617
34	0.0738859
35	0.0720297
36	0.0724445
37	0.0744234
38	0.0770477
39	0.0804781
40	0.0845336
41	0.0870008
42	0.0935602
43	0.100977
44	0.110534
45	0.119843
46	0.125446
47	0.126207
48	0.124744
49	0.123419
50	0.123474
51	0.122389
52	0.123359
53	0.131192
54	0.145838
55	0.170455
56	0.198281
57	0.224948
58	0.257528
59	0.296141
60	0.346072
61	0.394474
62	0.446432
63	0.492926
64	0.536174
65	0.579294
66	0.626397
67	0.6714
68	0.714439
69	0.748329
70	0.777524
71	0.803608
72	0.828975
73	0.850139
74	0.866598
75	0.873259
76	0.874326
77	0.87263
78	0.87319
79	0.874056
80	0.875066
81	0.879496
82	0.882917
83	0.88262
84	0.883576
85	0.884603
86	0.885113
87	0.887491
88	0.888777
89	0.88991
90	0.893791
91	0.8983
92	0.901446
93	0.908649
94	0.911869
95	0.912787
96	0.912842
97	0.91451
98	0.917238
99	0.923047
100	0.928143
101	0.928266
102	0.928235
103	0.927805
104	0.927488
105	0.928492
106	0.927628
107	0.925711
108	0.924174
109	0.925719
110	0.92829
111	0.928022
112	0.926752
113	0.924787
114	0.925233
115	0.925479
116	0.921835
117	0.917839
118	0.918791
119	0.920563
120	0.917991
121	0.918284
122	0.919879
123	0.922619
124	0.928263
125	0.935649
126	0.949218
127	1
